Hand,Count,TotalProfitBB,AvgProfitBB,VPIP%,PFR%
Q4s,36,17.660000000000004,0.49055555555555563,77.77777777777779,16.666666666666664
Q3s,22,203.35000000000002,9.243181818181819,77.27272727272727,9.090909090909092
Q2s,30,-28.47,-0.949,86.66666666666667,23.333333333333332
AJo,281,1202.4599999999998,4.2792170818505335,93.95017793594306,48.04270462633452
KJo,235,1388.8799999999999,5.910127659574467,95.74468085106383,34.8936170212766
QJo,183,451.7949999999999,2.4688251366120215,93.98907103825137,32.78688524590164
JJ,222,1362.5000000000005,6.137387387387389,99.09909909909909,72.07207207207207
JTs,81,232.54000000000002,2.8708641975308646,97.53086419753086,34.5679012345679
J9s,83,570.475,6.873192771084337,91.56626506024097,26.506024096385545
J8s,64,547.3699999999999,8.552656249999998,84.375,20.3125
J7s,49,31.459999999999994,0.6420408163265305,87.75510204081633,8.16326530612245
J6s,39,198.04000000000002,5.077948717948718,76.92307692307693,10.256410256410255
J5s,31,-41.36999999999999,-1.3345161290322578,87.09677419354838,9.67741935483871
J4s,24,-128.54999999999998,-5.356249999999999,62.5,20.833333333333336
J3s,20,115.75,5.7875,85.0,0.0
J2s,19,28.29,1.4889473684210526,78.94736842105263,26.31578947368421
ATo,260,591.52,2.275076923076923,94.61538461538461,34.61538461538461
KTo,180,758.1116666666667,4.211731481481482,87.77777777777777,27.22222222222222
QTo,159,518.8900000000001,3.263459119496856,87.42138364779875,18.238993710691823
JTo,171,970.335,5.674473684210526,90.05847953216374,25.146198830409354
TT,211,1411.27,6.688483412322275,98.10426540284361,60.66350710900474
T9s,76,316.69000000000005,4.166973684210527,92.10526315789474,27.631578947368425
T8s,71,469.59666666666675,6.614037558685447,92.95774647887323,30.985915492957744
T7s,43,158.98000000000005,3.6972093023255823,88.37209302325581,13.953488372093023
T6s,30,210.65,7.0216666666666665,83.33333333333334,16.666666666666664
T5s,26,15.399999999999991,0.592307692307692,88.46153846153845,23.076923076923077
T4s,17,58.49,3.440588235294118,70.58823529411765,17.647058823529413
T3s,18,233.74,12.985555555555557,83.33333333333334,16.666666666666664
T2s,25,51.85,2.074,72.0,4.0
A9o,155,401.255,2.588741935483871,83.87096774193549,27.741935483870968
K9o,105,-162.86,-1.5510476190476192,80.0,13.333333333333334
Q9o,111,335.30499999999995,3.0207657657657654,78.37837837837837,12.612612612612612
J9o,99,766.8050000000001,7.745505050505051,78.78787878787878,19.19191919191919
T9o,116,189.70999999999998,1.6354310344827585,86.20689655172413,14.655172413793101
99,204,1970.6366666666675,9.659983660130722,97.54901960784314,51.9607843137255
98s,83,950.1300000000001,11.447349397590363,91.56626506024097,25.301204819277107
97s,66,452.0966666666667,6.849949494949495,84.84848484848484,19.696969696969695
96s,38,347.59499999999997,9.147236842105263,86.8421052631579,15.789473684210526
