Player,Hands,VPIP,PFR,3Bet,Postflop_Agg,WTSD,W$SD,WinRate
4DyPguwK74ucujjoZHj4/A,396,21.464646464646464,5.05050505050505,0.7575757575757576,35.8974358974359,44.827586206896555,71.7948717948718,-18.502525252525256
xEsi1oUmfwPyMF7je/J0mw,310,34.193548387096776,20.0,1.935483870967742,35.714285714285715,39.39393939393939,74.35897435897436,-65.7258064516129
K6g8SSEKNJM+mB0DC3k1eg,807,26.64188351920694,22.55266418835192,0.8674101610904585,42.58373205741627,45.11278195488722,80.0,-26.19454770755886
jrGGb3gcZyH+RxnIjnonNQ,56,26.785714285714285,5.357142857142857,0.0,33.33333333333333,57.89473684210527,81.81818181818183,100.44642857142846
HVDAxK+JQj4aWkFZrUUGuQ,50,62.0,42.0,4.0,24.59016393442623,73.91304347826086,64.70588235294117,236.39999999999998
dJ/zUTDkchqPHNLrYTqbgw,99,38.38383838383838,21.21212121212121,2.0202020202020203,26.31578947368421,57.77777777777777,84.61538461538461,44.08080808080808
MHzi0hUfdu1r96TTDrBXhg,290,47.58620689655172,9.310344827586208,0.6896551724137931,39.01345291479821,61.016949152542374,70.83333333333334,29.58620689655173
elzjf7ECLeQKbtm3Wkijkg,95,20.0,2.1052631578947367,0.0,27.906976744186046,56.52173913043478,84.61538461538461,164.31578947368422
2iNPQW++kP1rGJe6YA0m1Q,13,61.53846153846154,0.0,0.0,22.727272727272727,77.77777777777779,57.14285714285714,-143.84615384615387
c0kicfH4w2qAdeicu/aaRA,13,23.076923076923077,0.0,0.0,34.78260869565217,88.88888888888889,87.5,126.92307692307692
pelqXTtdRYBzPDoadfX6HQ,48,70.83333333333334,29.166666666666668,0.0,25.71428571428571,46.875,73.33333333333333,-54.166666666666664
m6ZVFj4FyFhk2DdaIkdIUA,14,14.285714285714285,7.142857142857142,7.142857142857142,37.5,75.0,83.33333333333334,-10.714285714285714
plJYW4DX5iRoXoceHZM1XQ,157,38.853503184713375,17.197452229299362,0.0,36.11111111111111,58.620689655172406,70.58823529411765,16.42675159235669
LMlyeESnV9iKh2KsZFCH/g,685,19.562043795620436,14.306569343065693,0.43795620437956206,37.362637362637365,56.70103092783505,76.36363636363637,-55.769343065693434
qoIZizyRrSWFhTV7ehXVnw,502,39.6414342629482,9.760956175298805,0.796812749003984,43.9873417721519,55.91397849462365,74.03846153846155,-50.898406374501995
mzwwub9VQXatwGWV0YZIQQ,3195,19.061032863849764,12.957746478873238,0.6259780907668232,23.78048780487805,50.56179775280899,75.23809523809524,33.34147104851331
dPft7g2lbDhkes7WOvCpKA,385,23.896103896103895,18.961038961038962,1.5584415584415585,36.486486486486484,50.0,64.1025641025641,-40.36363636363637
ayKYwybhEANxJdWZYFBTeA,25,36.0,4.0,0.0,12.5,14.285714285714285,100.0,-68.0
v7tkWk7+6RdqsDqX0aWpFg,71,28.169014084507044,4.225352112676056,0.0,18.75,56.52173913043478,53.84615384615385,-120.07042253521126
k2L8+dYNTSmqKzjwh/YSMA,46,32.608695652173914,17.391304347826086,2.1739130434782608,39.285714285714285,56.25,100.0,104.34782608695652
vdkV5ip/FJ+2wBy7GWcEbQ,112,41.07142857142857,14.285714285714285,0.8928571428571428,32.467532467532465,68.29268292682927,71.42857142857143,-88.3125
MaenZgNutakBXo08yS02vQ,246,63.82113821138211,30.89430894308943,2.4390243902439024,22.40802675585284,56.42857142857143,75.9493670886076,23.154471544715452
a02X0Q8GeFM9fDoCgzOQ4w,321,14.953271028037381,8.722741433021806,0.9345794392523363,39.784946236559136,58.18181818181818,71.875,-7.838006230529588
rQTK6FUtFui0dj1HycLr4w,72,47.22222222222222,22.22222222222222,6.944444444444445,32.30769230769231,71.875,69.56521739130434,308.7361111111113
FKjCxc2lwEYrwd5LuCJeAQ,13,61.53846153846154,7.6923076923076925,0.0,14.285714285714285,44.44444444444444,25.0,-520.6153846153845
0gI97yPsPxis93VLpBSJlA,1,0.0,0.0,0.0,0.0,0.0,0.0,-15.0
Y/3E9DWY4Q3rJPjZgfIlGw,37,45.94594594594595,18.91891891891892,0.0,37.5,80.0,58.333333333333336,-168.98648648648648
cyommjAnHy2svPlxLTvcpg,99,10.1010101010101,4.040404040404041,0.0,44.44444444444444,50.0,80.0,-27.272727272727273
Fj3ItKSKCHjT911OBrj0Mg,88,30.681818181818183,2.272727272727273,1.1363636363636365,33.33333333333333,46.42857142857143,84.61538461538461,98.57954545454545
2rwGUvtd8gEybkQBxKPIyA,60,31.666666666666664,13.333333333333334,1.6666666666666667,47.61904761904761,35.294117647058826,66.66666666666666,-166.33333333333334
TLnmrKvGaBBw0U9sxxf97A,34,17.647058823529413,14.705882352941178,2.941176470588235,33.33333333333333,25.0,100.0,118.08823529411765
dHnE2JoNVNclJh2cpWA7+A,46,36.95652173913043,15.217391304347828,0.0,29.629629629629626,75.0,88.88888888888889,1.0869565217391304
qBA7rUT/aJQHP2GQJJW2iA,160,28.125,1.875,0.0,79.48717948717949,75.0,76.66666666666667,-40.21874999999999
LchGQ2dMWYQHuD2nBOk3OA,272,45.220588235294116,15.441176470588236,1.4705882352941175,28.08988764044944,47.05882352941176,70.83333333333334,-13.235294117647058
34N4xzwTekPtxVjXXcB/lw,1,100.0,0.0,0.0,50.0,100.0,100.0,300.0
EolM58ih44Wg1IK9MonQFg,12,91.66666666666666,8.333333333333332,0.0,19.35483870967742,81.81818181818183,44.44444444444444,-491.6666666666667
9mzAU9nYI1j46rmXJ6wIQg,12,83.33333333333334,75.0,0.0,30.0,81.81818181818183,77.77777777777779,491.6666666666667
yspTPyicC4Ere+tsoRHI1A,1258,24.562798092209857,17.647058823529413,2.066772655007949,31.941544885177453,50.18867924528302,72.18045112781954,-36.848171701112875
DEgDUUu7cBk/Qx/ILFy0HQ,116,31.03448275862069,4.310344827586207,0.0,18.055555555555554,47.22222222222222,76.47058823529412,83.23275862068967
xStuzDgdgQp5UdrIsZXncA,190,41.05263157894737,5.263157894736842,0.5263157894736842,25.41436464088398,59.523809523809526,76.0,8.16842105263158
MWrPCPjy4NmeojdX9wf/IQ,60,36.666666666666664,18.333333333333332,0.0,46.666666666666664,30.434782608695656,85.71428571428571,-101.50000000000001
3h5TPVFteMuEjjxq5+11Sg,288,30.555555555555557,5.902777777777778,0.0,31.690140845070424,38.88888888888889,74.28571428571429,-15.625
ju9aCiBZP8Z4ljFFbRFptw,74,47.2972972972973,9.45945945945946,0.0,37.03703703703704,51.724137931034484,80.0,-99.82432432432432
mf47OdC90U8+X5pXM3858g,79,34.177215189873415,10.126582278481013,2.5316455696202533,50.0,53.57142857142857,60.0,-183.03797468354432
dJeEn5DpyQpZSEvziUWvgA,88,22.727272727272727,3.4090909090909087,0.0,40.625,40.909090909090914,100.0,74.43181818181819
OLY3njcQyUpkLPcTUqA2Ig,24,12.5,0.0,0.0,50.0,60.0,100.0,43.75
iAm3r1pahhXNueC2Xf6kag,196,32.142857142857146,1.530612244897959,0.5102040816326531,32.20338983050847,50.72463768115942,80.0,35.045918367346935
rwCKaJz/OT/u9FXTE1zHbQ,144,29.166666666666668,12.5,1.3888888888888888,23.076923076923077,51.42857142857142,83.33333333333334,98.76388888888889
eImzFq6jOSm/s+Xtnk7xGA,48,45.83333333333333,29.166666666666668,6.25,27.27272727272727,60.0,44.44444444444444,-304.5833333333333
h0aEcU0wf046pAeOWSk0Bg,2,100.0,0.0,0.0,50.0,100.0,0.0,-2507.0
EJUwgi7WYoWWDyVMBClE1A,22,31.818181818181817,27.27272727272727,4.545454545454546,60.0,60.0,100.0,256.8181818181818
cqTb6sOhxe8Wbt2p1n+eIA,87,42.5287356321839,2.2988505747126435,1.1494252873563218,17.105263157894736,54.054054054054056,65.0,-152.39080459770116
lM0LgasFetZUUqeMZdpyqA,33,27.27272727272727,12.121212121212121,0.0,45.45454545454545,33.33333333333333,100.0,97.57575757575759
2tzV5jKiINJ7I1JEk3KEsg,59,54.23728813559322,15.254237288135593,1.694915254237288,31.944444444444443,58.333333333333336,61.904761904761905,-188.94915254237287
3lO4PUzSaf77/+Aoykqn/g,3,100.0,0.0,0.0,62.5,66.66666666666666,50.0,-1363.3333333333333
6cRZtCnxcAFudZW+NQEIgA,110,32.72727272727273,14.545454545454545,0.9090909090909091,20.967741935483872,37.5,58.333333333333336,-66.07272727272732
HHNXAAuemZwz8tRXJvTF1Q,79,20.253164556962027,3.79746835443038,1.2658227848101267,23.333333333333332,36.84210526315789,100.0,71.89873417721519
VejrteQ6INC0g4UKZR7P8A,504,36.30952380952381,12.103174603174603,1.1904761904761905,31.907894736842106,53.459119496855344,76.47058823529412,15.750000000000002
